Increments,Abscissas in µm,Raw data,Smoothed data,Raw - Smoothed data,Smoothed data*Gain + Offset
284,1847.848,37257,31560.243,5696.757,37397.111
285,1854.354,39146,32885.263,6260.737,39093.137
286,1860.861,41101,34241.740,6859.260,40829.427
287,1867.367,43063,35594.270,7468.730,42560.666
288,1873.874,44723,36893.405,7829.595,44223.559
289,1880.380,46546,38153.551,8392.449,45836.545
290,1886.887,48162,39312.685,8849.315,47320.237
291,1893.393,49528,40346.642,9181.358,48643.702
292,1899.900,50599,41247.024,9351.976,49796.191
293,1906.406,51473,42004.942,9468.058,50766.326
294,1912.913,52118,42619.567,9498.433,51553.046
295,1919.419,52578,43100.617,9477.383,52168.789
296,1925.926,52833,43459.113,9373.887,52627.665
297,1932.432,53044,43719.096,9324.904,52960.443
298,1938.939,53175,43880.279,9294.721,53166.757
299,1945.445,53244,43960.940,9283.060,53270.003
300,1951.952,53098,43954.843,9143.157,53262.199
301,1958.458,53046,43905.248,9140.752,53198.717
302,1964.965,52945,43802.823,9142.177,53067.613
303,1971.471,52801,43633.124,9167.876,52850.398
304,1977.978,52616,43409.553,9206.447,52564.227
305,1984.484,51979,43087.088,8891.912,52151.473
306,1990.991,51660,42756.856,8903.144,51728.775
307,1997.497,51300,42380.141,8919.859,51246.580
308,2004.004,50896,41929.312,8966.688,50669.520
309,2010.511,50446,41416.710,9029.290,50013.389
310,2017.017,49095,40751.511,8343.489,49161.934
311,2023.524,48449,40126.502,8322.498,48361.923
312,2030.030,47751,39465.253,8285.747,47515.523
313,2036.537,47010,38745.631,8264.369,46594.407
314,2043.043,46234,37984.806,8249.194,45620.552
315,2049.550,44164,37056.913,7107.087,44432.848
316,2056.056,43322,36270.911,7051.089,43426.767
317,2062.563,42515,35510.134,7004.866,42452.972
318,2069.069,41755,34763.102,6991.898,41496.771
319,2075.576,41058,34039.491,7018.509,40570.549
320,2082.082,38990,33194.270,5795.730,39488.665
321,2088.589,38447,32577.777,5869.223,38699.555
322,2095.095,38009,32043.971,5965.029,38016.282
323,2101.602,37679,31609.398,6069.602,37460.030
324,2108.108,37451,31217.425,6233.575,36958.304
325,2114.615,35923,30738.754,5184.246,36345.606
326,2121.121,35889,30504.363,5384.637,36045.584
327,2127.628,35935,30361.841,5573.159,35863.156
328,2134.134,36058,30324.624,5733.376,35815.518
